BGRF_ID	Title	Author	Author1	Author2	Author3	Author4
00.1	Adèle de Montmorency ou la belle émigrée
00.10	Camille et Agathe ou l’amour vainqueur de la mort
97.6	Les ressouvenir; de M** ou les inconvéniens d’un bon choix
97.61	Une journée de Paris	RIPAULT, Louis-Madeleine
97.65	Adèle et Germeuil ou I’hermitage des monts Pyrénées, par A.J. Rosny, orné de figures dessinées par Quéverdo et gravées par Villeray	ROSNY, Antoine-Joseph-Nicolas de
97.66	Les infortunes de Mr. de la Galetierre pendant le régime dé-cemviral, contenant ses persécutions, sa fuite sous Robespierre, son naufrage et son séjour dans une île déserte, suivis de son retour en France, par A.J. Rosny, auteur de Joseph et Caroline	ROSNY, Antoine-Joseph-Nicolas de
97.67	Isidore et Juliette, anecdote du quinzième siècle	ROSNY, Antoine-Joseph-Nicolas de
97.68	Joseph et Caroline ou le berger de la Sologne, mémoires d’un jeune homme, fidèlement rédigés par lui-même, histoire véritable, par un officier de la légion des Ardennes, avec figures	ROSNY, Antoine-Joseph-Nicolas de
97.69	Les six nouvelles ou la confession galante de six femmes du jour, par A.J. Rosny, auteur d’/lrfè/e et Germeuil	ROSNY, Antoine-Joseph-Nicolas de
97.71	La nouvelle Justine ou les malheurs de la vertu, ouvrage omé d’un frontispice et de quarante sujets gravés avec soin	SADE, Donatien-Alphonse-François, marquis de
97.72	Zephyre ou le berceau de Flore, roman imité du grec par S.....	SANCHAMAU, J.-B.
97.73	Alphonse d’Armoncourl ou la belle-mère	SANCY, madame de
97.74	L’émigré, publié par M. de Meilhan, ci-devant intendant du pays d’Aunis, de Provence, Avignon et du Hainaut, et intendant-général de la guerre et des armées du roi de France, etc. etc.	SÉNAC DE MEILHAN, Gabriel
97.77	Hélène, par madame la baronne de ****, auteur du Journal de Lolotte Francfort s.	WIESENHUETTEN, Frederike Henriette, baronne de
98.1	Adèle et Sophie ou les deux amies, par mademoiselle S“*
98.10	Eugène et Julie ou les souterrains du château de la Hague, histoire véritable par C.L.M.
98.11	L’Européenne sauvage ou histoire de madame de Valville, par A.C***, ancien officier de vaisseaux de commerce
98.14	Hic et hacc ou les élèves des RR. PP. Jésuites d’Avignon
98.15	Innocence et tendresse ou l’âge du bonheur
98.19	Mémoires d’une famille émigrée
98.2	Agéanax ou l’Amour voyageur, fiction érotique tirée de quelques auteurs anciens, principalement des auteurs grecs
98.22	Pauline et Belval ou les victimes d’un amour criminel, anecdote parisienne du XVIIIe siècle d’après les corrections de l’auteur d’A line et Valcour
98.27	La vengeance maternelle et les situations du chevalier de Rosemont, écrites par lui-même
98.28	Célestine ou les époux sans l’être, par Mr. B. de la L.	BELLIN DE LA LIBORLIÈRE, Louis-François-Marie
98.3	Les amans réunis ou les fruits de l’amour et de l’éducation
98.30	Félicie de Vilmard, par Pierre Blanchard, auteur de Rose, &c. &c.	BLANCHARD, Pierre
98.31	Laurence de Sainte-Beuve, nouvelle, par Pierre Blanchard	BLANCHARD, Pierre
98.34	Histoire d’une famille, par M. D’Orson, mise au jour par M. Cagniard, avec figures	CAGNIARD
98.36	Les aventures de mon cousin	DABAYTUA
98.37	Le poète ou mémoires d’un homme de lettres, écrits par lui-même	DESFORGES, Pierre-Jean-Baptiste Choudard
98.38	Œuvres de Denis Diderot, publiées sur les manuscrits de l’auteur par Jacques-André Naigeon, de l’Institut national des sciences, etc.	DIDEROT, Denis
98.39	Sinclair	DUCOS, Angélique Caze de La Bove, madame Marie de
98.4	Amélie ou les écarts de ma jeunesse
98.41	La dot de Suzette ou histoire de Mme. de Senneterre, racontée par elle-même	FIÉVÉE, Joseph
98.43	Georgeana ou la vertu persécutée et triomphante, traduction t de l’anglais, par l’auteur des Dangers de ta coquetterie, ornée de figures d’après les dessins de Chailloux	GACON-DUFOUR, Marie-Armande-Jeanne d’Humières, madame
98.44	Les petits émigrés ou correspondance de quelques enfans, ouvrage fait pour servir à l’éducation de la jeunesse, par madame de Genlis	GENLIS, Stéphanie-Félicité Ducrest de Saint-Aubin, marquise de Sillery, comtesse de
98.45	Les vœux téméraires ou l’enthousiasme, par Mme. de Genlis, auteur du Théâtre d’éducation, d’Adèle et Théodore, &c &c &c	GENLIS, Stéphanie-Félicité Ducrest de Saint-Aubin, marquise de Sillery, comtesse de
98.47	Nouvelle suite des Mille et une nuits, contes arabes, traduit par M. Galland, de l’Académie des Inscriptions & Belles-Lettres, trouvés dans les papiers de ce célèbre écrivain, avec figures	GOULLIART, P.-L.
98.5	Amin ou ces derniers temps
98.50	Eleonore et Monval, nouvelle	HUBIN, Jean-Hubert
98.60	Nérine, histoire anglaise par Lafont	LAFONT, F.-Gaspard
98.62	Voyages d’An ténor en Grèce et en Asie, avec des notions sur l’Egypte, manuscrit trouvé à Herculanum, traduit par E.-F. Lan lier, avec figures	LANTIER, Étienne-François
98.63	Le mieux, conte moral par le général Lasalle	LA SALLE D’OFFÉMONT, Adrien-Nicolas Piédefer, marquis de
98.65	Les dangers de l’intrigue, par J. de Lavallée, auteur du Nègre comme il y a peu de blancs, de Cécile fille d’Achmet III, etc., etc. etc.	LAVALLÉE, Joseph, marquis de Bois-Robert
98.67	Virginie Bellemont, par H. Lemaire	LEMAIRE, Henri
98.68	Œuvres de Léonard, recueillies et publiées par Vincent Campenon	LÉONARD, Nicolas-Germain
98.69	Confessions de Clément Marot, publiées et mises en françois moderne par l’auteur de l’Aventurier françois	LESUIRE, Robert-Martin
98.7	Le château de Mortimore, conte gallois, traduit de l’anglois t? par le citoyen M....
98.73	Les trois frères ou Lydia Churchill, par Charlotte Bournon-Malarme	MALARME, Charlotte de Bournon, comtesse de
98.75	Delphina ou le spectre amoureux, histoire véritable tirée de l’espagnol et enrichie de notes curieuses, par A.P.F.M.......de Gentifly	MÉNÉGAULT, A.-P.-F.
98.76	Stéphanor ou les aventures d’un jeune Portugais	MÉNÉGAULT, A.-P.-F.
98.78	La sorcière de Verberie, ou Jeanne d’Harvilliers, nouvelle française, suivie d’histoires intéressantes et d’un fragment sur Vénus guerrière, par Mercier de Compiègne	MERCIER DE COMPIÈGNE, Claude-François-Xavier
98.80	Le naufrage & la mort du Cte de Boulainvilliers, nouvelle historique, publiée par le C. Paillet	PAILLET
98.81	Adonis ou le bon nègre, anecdote coloniale par J.B. Picquenard	PICQUENARD, J.-B.
98.82	Les barons de Felsheim, histoire allemande qui n’est pas tirée de l’allemand, par Pigault-le-Brun, membre de la Société philotechnique	PIGAULT-LEBRUN, Charles-Antoine-Guillaume Pigault de l’Epinay, dit
98.84	L’anti-Justine ou les délices de l’amour, par M. Linguet, av. au et en Parlent., avec LX figures	RÉTIF DE LA BRETONNE, Nicolas-Edme
98.85	Pauliska ou la perversité moderne, mémoires récens d’une Polonaise	RÉVÉRONI SAINT-CYR, baron Jacques-Antoine de
98.87	Anecdote du jour ou histoire d’une détention à la prison	ROSNY, Antoine-Joseph-Nicolas de
98.88	Firmin ou le jouet de la fortune, histoire d’un jeune émigré, par Joseph Rosny	ROSNY, Antoine-Joseph-Nicolas de
98.89	Gemance ou la force des passions, anecdote française par Joseph Rosny	ROSNY, Antoine-Joseph-Nicolas de
98.90	Aphrodite ou la fille retrouvée, roman imité de Shaskpear (sic), par T. Saint-Marcel	SAINT-MARCEL, A.-Philippe Tardieu
98.93	La belle Indienne ou les aventures de la petite-fille du grand Mogol, traduit de l’anglais par Cornélie de Vasse	VASSE, Cornélie-Pétronille-Bénédicte Wouters, baronne de
98.94	L’île de Wight ou Charles et Angelina, par C.A. Walckenaer	WALCKANAER
98.97	Nelson ou l’avare puni, par Marie Wouters, auteur du Décaméron anglais	WOUTERS, Marie
99.1	Adolphe et Clara ou les deux prisonniers
99.10	Les comédiens ambulans, par L***
99.103	Minuit ou les aventures de Paul de Mirebon, par l’auteur de Sophie de Beauregard et de Zabeth	LA GRAVE, comtesse de
99.104	Sophie de Beauregard ou le véritable amour, par L.C.L.G.	LA GRAVE, comtesse de
99.105	Zabeth ou la victime de l’ambition, par l’auteur de Sophie de Beauregard	LA GRAVE, comtesse de
99.106	Valerine de Monsabran ou la victime de la confiance, anecdote française	LA ROCHELLE, L.-F.-G. B... de
99.107	Jephté ou Almeid et Sella, nouvelle orientale, par Jh. de la Scrrie, de la Vendée	LA SERRIE, François-Joseph de
99.108	Les veillées de Minerve ou recueil de nouvelles morales	LAUS DE BOISSY, Louis de
99.109	Antoine ou le crime et le remords, par Je C. P. Le Bas	LE BAS, P.-L.
99.11	Contes saugrenus
99.110	Le jeune sauvage dans la société, par Augustin Lejeune	LEJEUNE, Augustin
99.111	Hortense et Sélicourt, roman français	LEMAIRE, Henri
99.112	Mélanie et Félicité ou la différence des caractères, par H. Lemaire, auteur de Virginie Bellemont	LEMAIRE, Henri
99.113	La pauvre rentière	LEMAIRE, Henri
99.114	Rosine ou le pas dangereux, par H. Lemaire, auteur de Virginie Bellemont	LEMAIRE, Henri
99.115	Les quatre aveptures, recueillies par Le Suire, professeur de législation à l’École centrale de Moulins ...	LESUIRE, Robert-Martin
99.116	Grandes et incomparables aventures de milord Stitt et de Herr Rodomond-Micmak, de quelques autres preux chevaliers, de leurs dames, de leurs écuyers, ensemble des rois pour lesquels ils se sont battus ou fait battre, histoire admirable traduite de l’anglais et du napolitain	LOCRÉ, baron Jean-Guillaume
99.118	Charles de Rosenfeld ou l’aveugle inconsolable d’avoir cessé de l’être, histoire allemande, par l’auteur des Mémoires du comte de Saint-Méran	MAIMIEUX, Joseph de
99.119	Théobald Leymour ou la maison murée, par Charlotte Bournon-Malarme, académicienne	MALARME, Charlotte de Bournon, comtesse de
99.120	Voyages de Pythagorc en Egypte, dans la Chaidce, dans l’Inde, en Crète, à Sparte, en Sicile, à Rome, à Carthage, à Marseille et dans les Gaules, suivis de ses lois politiques et morales	MARÉCHAL, Pierre-Sylvain
99.121	Le château noir ou les souffrances de la jeune Ophelle, par Anna d’Or. Mér. St. J., auteur de la Mère coupable	MÉRARD DE SAINT-JUST, Anne-Jeanne-Félicité d’Ormoy, madame
99.122	Tableaux du plaisir et de la volupté, contenant le poème du Plaisir, les Quatre heures de la toilette des dames, l’Asile des Grâces, et autres pièces recueillies par Mercier de Compiègne	MERCIER DE COMPIÈGNE, Claude-François-Xavier
99.123	Lise et Valcour ou le Bénédictin, par la C116. G***d	MÉRÉ, Elisabeth Guénard, madame Brossin de
99.124	Le nouveau Faublas ou les aventures de Florbelle, pour faire suite au Faublas de Louvet, par J.F. Mimault, avec figures et musique	MIMAUT, Jean-François
99.125	Clémence de Lautrec, par l’auteur de P......	MOREL DE VINDÉ, Charles-Gilbert Terray, vicomte de
99.126	Les malheurs d’Elisabeth ou les victimes de la perfidie	MOYLIN-FLEURY
99.128	L’Anglais cosmopolite, traduit de l’anglais de milord Laugher, avec des notes critiques, par V.D.M.	MUSSET-PATHAY, Victor-Donatien de Musset, dit
99.129	La cabane mystérieuse, par V.D.M.	MUSSET-PATHAY, Victor-Donatien de Musset, dit
99.13	Eléonore ou l’heureuse personne
99.133	Paris métamorphosé ou histoire de Gilles-Claude Ragot, pendant son séjour dans cette ville centrale de la République française, où l’on voit, avec le récit de ses aventures merveilleuses, les ruses, tromperies, astuces, finesses, etc., etc., qu’il y a éprouvées et auxquelles tous les citoyens sont en butte, ouvrage qui peut faire suite aux Astuces et tromperies de Paris, etc. etc., et rédigé d’après des mémoires authentiques, par P.-J.-B.-Nougaret, avec figures	NOUGARET, Pierre-Jean-Baptiste
99.134	Amour, haine et vengeance ou histoire de deux illustres maisons d’Angleterre, par François Pagès, auteur de l’Histoire secrète de la Révolution française	PAGÈS, François-Xavier
99.135	Le délire des passions ou la vie et les aventures de Gérard Montclar, par François Pagès, auteur de l’Histoire secrète de la Révolution française	PAGÈS, François-Xavier
99.136	Les erreurs de la vie ou mémoires de Félix, par François Pagès, auteur de l’Histoire secrète de la Révolution française	PAGÈS, François-Xavier
99.137	Les faiblesses d’un grand homme ou la vie et les aventures de Jean-Louis de Fiesque, comte de Lavagne, par François Pagès, auteur de l’Histoire secrète de la Révolution française	PAGÈS, François-Xavier
99.138	Le triomphe de l’amour et de l’amitié ou lettres d’Adeline de Rainsy et de Sainval	PAGÈS, François-Xavier
99.14	Les enchantemens et métamorphoses des génies et des fées, contes plus que contes, récréatifs, curieux et galans
99.140	Le berger arcadien ou premiers accens d’une flûte champêtre, par le C. Charles P....	PERTUSIER, Charles
99.141	Angélique et Jeanneton de la place Maubert, par Pigault-le-Brun, de la Société philotechnique, auteur de l’Enfant du Carnaval, des Barons de Felsheim, etc.	PIGAULT-LEBRUN, Charles-Antoine-Guillaume Pigault de l’Epinay, dit
99.143	Mélanges, par l’auteur des Anecdotes suisses Vienne, imprimerie de la veuve	PONT-WULLYAMOZ, Marie-Louise-Françoise de
99.145	Les cinq voleurs de la Forêt-Noire	QUESNÉ, Jacques Salbigoton
99.146	lllyrine ou l’ecueil de l’inexperience, par G ..... de Morency	QUINQUET, Suzanne Gireux, madame Bertrand
99.147	La caverne de Strozzi, par J. J. Regnault de Warin, ornée de fig.	REGNAULT-WARIN, Jean-Baptiste-Joseph-Innocent-Philadelphe
99.148	Nos folies ou mémoires d’un musulman connu à Paris en 1798, recueillis et publiés par l’auteur de Sabina d’Herfeld	RÉVÉRONI SAINT-CYR, Jacques-Antoine, baron de
99.149	Juliette et Dalmor ou les amants des Cévennes, par Ricard Saint-Hillaire fils	RICARD SAINT-HILAIRE
99.15	Eugénie et Charles ou les victimes de l’ambition et de l’hypocrisie
99.154	Eulalie ou le repentir	ROME, madame de, née Marné de Morville
99.155	Calixta de Pormentall ou les victimes de l’indifférence, anecdote helvétique	ROSNY, Antoine-Joseph-Nicolas de
99.156	La laitière de Saint-Ouen, anecdote suivie de Lorino, nouvelle vénitienne	ROSNY, Antoine-Joseph-Nicolas de
99.157	L’optique du jour ou le foyer de Montansier, par Joseph R‘**y	ROSNY, Antoine-Joseph-Nicolas de
99.158	Le prêteur sur gages ou l’intérieur des maisons de prêts, ouvrage critique, historique et moral, formant suite à l’Optique du jour, par Joseph R****y	ROSNY, Antoine-Joseph-Nicolas de
99.159	Le tableau comique ou l’intérieur d’une troupe de comédiens, formant suite à l’Optique du jour, par Joseph R***y	ROSNY, Antoine-Joseph-Nicolas de
99.16	Fanny et Montrosc, traduit de l’anglais par L.P., suivi du Séducteur
99.160	Le crocodile ou la guerre du bien et du mal arrivée sous le règne de Louis XV, poème épiquo-magique en 102 chants, dans lequel il y a de longs voyages, sans accidens qui soient mortels; un peu d’amour sans aucune de ses fureurs; de grandes batailles, sans une goutte de sang répandue; quelques instructions sans le bonnet de docteur; et qui parce qu’il renferme de la prose et des vers, pourroit bien en effet, n’être ni en vers, ni en prose, œuvre posthume d’un amateur des choses cachées	SAINT-MARTIN, Louis-Claude
99.161	Un pot sans couvercle et rien dedans ou les mystères du souterrain de la nie de la lune, histoire merveilleuse et véritable, traduite du français ou langue vulgaire par Louis Randol	SALVERTE, Anne-Joseph-Eusèbe Baconnière de
99.167	Emilie et Alphonse ou danger de se livrer â ses premières impressions, par l’auteur d’Adèle de Sénange	SOUZA, Adélaïde-Marie-Emilie, comtesse de Flahaut, puis marquise de
99.17	La forêt de Livry ou erreur, malheur et bonheur, par la citoyenne Alphonse ***
99.171	Œuvres posthumes du comte de Thiard, publiées, avec son éloge historique, par P.A.L. Maton (de-la-Varenne), éditeur du nouveau Siècle de Louis XV, auteur du Discours préliminaire et des notes de ce dernier ouvrage, de Valdeuil, de Camille et Formose, etc.	THIARD DE BISSY, comte Henri-Charles de
